country,month,visitors
malaysia,1,10405
india,1,28946
japan,1,16792
south_korea,1,15373
china,1,115473
united_states,1,17209
australia,1,91561
malaysia,2,14441
india,2,28809
japan,2,20665
south_korea,2,14788
china,2,122643
united_states,2,15056
australia,2,67471
malaysia,3,15792
india,3,26333
japan,3,21322
south_korea,3,10790
china,3,89174
united_states,3,21683
australia,3,78981
malaysia,4,13327
india,4,25436
japan,4,19809
south_korea,4,12334
china,4,94202
united_states,4,22170
australia,4,90236
malaysia,5,15211
india,5,38629
japan,5,15774
south_korea,5,14029
china,5,93460
united_states,5,24835
australia,5,98621
malaysia,6,13805
india,6,39922
japan,6,18697
south_korea,6,18737
china,6,103951
united_states,6,26086
australia,6,110813
malaysia,7,11884
india,7,29728
japan,7,20467
south_korea,7,23263
china,7,111986
united_states,7,26289
australia,7,123293
malaysia,8,14172
india,8,23214
japan,8,33698
south_korea,8,23198
china,8,109285
united_states,8,23473
australia,8,113520
malaysia,9,17236
india,9,27496
japan,9,29367
south_korea,9,19442
china,9,98468
united_states,9,26165
australia,9,124401
malaysia,10,16857
india,10,29229
japan,10,23411
south_korea,10,21307
china,10,87817
united_states,10,22928
australia,10,118392
malaysia,11,17929
india,11,34367
japan,11,17722
south_korea,11,18628
china,11,78498
united_states,11,22798
australia,11,100900
malaysia,12,23418
india,12,39741
japan,12,20173
south_korea,12,21435
china,12,80807
united_states,12,24625
australia,12,107209